name,year,index,citation
Humphrey Henchman,1665,NULL,NULL
William Howard,1665,23,3825
Charles Howard,1665,26,3574
Edward Hyde,1665,12,537
Hugues Louis De Lionne,1665,NULL,NULL
George Monck,1665,NULL,NULL
Edward Montagu,1665,NULL,NULL
Samuel Pepys,1665,NULL,NULL
Prince Rupert,1665,NULL,NULL
Richard Sackville,1665,NULL,NULL
Gilbert Sheldon,1665,NULL,NULL
Richard Stearne,1665,NULL,NULL
Malachy Thruston,1665,NULL,NULL
Sir Theodore de Vaux,1665,NULL,NULL
James II,1665,NULL,NULL
Ferdinand Albert,1665,9,196
Charles II,1665,NULL,NULL
Adrian Auzout,1666,NULL,NULL
Robert Bertie,1666,NULL,NULL
George Cock,1666,NULL,NULL
John Copplestone,1666,NULL,NULL
Sir Thomas Crisp,1666,3,47
William Harrington,1666,37,3980
John Hay,1666,26,2101
Henry Howard,1666,4,40
Sir Edmond King,1666,NULL,NULL
Benjamin Laney,1666,NULL,NULL
Nicholas Mercator,1666,NULL,NULL
George Morley,1666,35,
David Murray,1666,67,19955
Edward Nelthorpe,1666,NULL,NULL
Samuel Parker,1666,3,13
John Robartes,1666,NULL,NULL
Sir Paul Rycaut,1666,NULL,NULL
William Aglionby,1667,NULL,NULL
Theodor de Beringhen,1667,NULL,NULL
Maurice Berkeley,1667,NULL,NULL
Charles Berkeley,1667,NULL,NULL
Ismael Bullialdus,1667,NULL,NULL
Henry Clerke,1667,NULL,NULL
Sir Clifford Clifton,1667,NULL,NULL
John Collins,1667,56,9105
Sir William Curtius,1667,NULL,NULL
John Downes,1667,32,4374
Sir Bernard Gascoigne,1667,NULL,NULL
Thomas Harley,1667,3,185
Sir Thomas Lake,1667,3,47
Johann Borkman Leyonbergh,1667,NULL,NULL
Richard Lower,1667,26,2716
Jacques du Moulin,1667,NULL,NULL
Walter Needham,1667,6,94
Nicholas Oudart,1667,NULL,NULL
John Pearson,1667,36,4935
Pierre Petit,1667,26,2168
John Ray,1667,22,1506
Bullen Reymes,1667,NULL,NULL
Sir Philip Skippon,1667, ,0
Francis Smethwick,1667,NULL,NULL
Sir William Soame,1667,NULL,NULL
Sir Nicholas Stuart,1667,24,5059
Carlo Ubaldini,1667,NULL,NULL
Thomas Allen,1668,8,
Arthur Annesley,1668,NULL,NULL
James Arderne,1668,NULL,NULL
Sir John Banks,1668,16,1393
Edward Brown,1668,93,32477
Edward Chamberlayne,1668,2,9
Thomas Colepeper,1668,NULL,NULL
John Colwall,1668,NULL,NULL
Edward Conway,1668,37,6107
Peter Courthope,1668,NULL,NULL
Antonio Alvares da Cunha,1668,NULL,NULL
Sir Maurice Eustace,1668,NULL,NULL
Daniel Finch,1668,1,1
Thomas Flatman,1668,NULL,NULL
(unknown) Flower,1668,NULL,NULL
James Gregorie,1668,NULL,NULL
Erasmus Harby,1668,NULL,NULL
Charles Hotham,1668,NULL,NULL
Edward Howard,1668,39,4254
William Le Hunt,1668,NULL,NULL
John Locke,1668,16,
Sir Kingsmill Lucy,1668,NULL,NULL
Esay Ward,1668,NULL,NULL
William Wentworth,1668,NULL,NULL
Benjamin Woodroffe,1668,NULL,NULL
Thomas Barrington,1669,12,690
George Castle,1669,2,19
Urban Hiarne,1669,NULL,NULL
James Hoare,1669,18,1107
Anthony Horneck,1669,NULL,NULL
Edward Jeffreys,1669,NULL,NULL
Marcello Malpighi,1669,NULL,NULL
Gaspar Merez de Souza,1669, ,0
Georg Stiernhielm,1669,NULL,NULL
Silas Titus,1669,NULL,NULL
Gustavus Helmfeld,1670,NULL,NULL
Andre Monceaux,1670,NULL,NULL
Nehemiah Grew,1671,NULL,NULL
Martin Lister,1671,1,
Sir Philip Matthews,1671, ,0
Sir Robert Reading,1671,NULL,NULL
Sir John Williams,1671,58,12808
Jean Dominique Cassini,1672,2,53
Sir Frescheville Holles,1672,NULL,NULL
Henry Howard,1672,4,40
Sir Isaac Newton,1672, ,0
John Tillotson,1672,4,219
Francis Vernon,1672,NULL,NULL
Howard (unknown),1672,NULL,NULL
John Le Gassick,1673,6,103
Giles Strangways,1673,NULL,NULL
Rowland Winn,1673,NULL,NULL
Sir Richard Ford,1673,43,10907
Sir Thomas Player,1673,3,47
Andrew Birch,1673,6,256
Sir John Lawrence,1673,31,2896
Edward Bernard,1673,29,2235
Charles Somerset,1673,NULL,NULL
John Stafford Howard,1673,17,972
Gottfried Wilhelm von Leibniz,1673,NULL,NULL
Francis Robartes,1673,NULL,NULL
Sir Jonas Moore,1674,NULL,NULL
Edmund Castell,1674,NULL,NULL
Renatus Franciscus Slusius,1674,NULL,NULL
Giovanni Battista Pacichelli,1674,23,1749
Henry Jenkes,1674,NULL,NULL
Sir Philip Percivale,1675, ,0
Daniel Milles,1675,NULL,NULL
George Savile,1675,NULL,NULL
"Sir Paul Whichcote, 2nd Baronet",1675,NULL,NULL
Sir Thomas Clutterbuck,1676,3,
Sir Richard Edgcumbe,1676, ,
Henry Hall,1676,38,5874
Sir Henry Sheers,1676,NULL,NULL
John Mapletoft,1676,7,202
Francesco Travagino,1676,NULL,NULL
John King,1676,34,4373
George Ent,1677,NULL,NULL
Sir George Croke,1677,NULL,NULL
Christopher Adolphus Baldwin,1677,NULL,NULL
Sir Peter Colleton,1677,NULL,NULL
Robert Plot,1677,NULL,NULL
Thomas Gale,1677,13,1131
Thomas Smith,1677,69,
John Flamsteed,1677,NULL,NULL
Sir George Wheler,1677,NULL,NULL
Oliver Hill,1677,12,597
John Herbert,1677,28,4308
Edmund Wyndham,1677,13,593
John Mayow,1678,NULL,NULL
David Hannisius,1678,NULL,NULL
Joseph Moxon,1678,13,461
Walter Chetwynd,1678,NULL,NULL
Theodor Kerckring,1678,NULL,NULL
William Perry,1678,37,4282
Sir James Langham,1678,2,
Edmund Dickenson,1678,NULL,NULL
Dethlevus Cluverus,1678,NULL,NULL
Francis Aston,1678,7,
John Van de Bemde,1678,4,
Joseph Lane,1678,67,16945
Edmond Halley,1678,NULL,NULL
William Naper,1679,NULL,NULL
Thomas Pigot,1679,NULL,NULL
Thomas Sheridan,1679,29,4610
Henry Paman,1679,NULL,NULL
Sir William Waller,1679,15,
William Bridgeman,1679,NULL,NULL
Edward Tyson,1679,2,
Ezekiel Spanheim,1679,NULL,NULL
Giovanni Ambrosio Sarotti,1679,23,1841
Peter Perkins,1680,20,1469
Sir Jonas Moore,1680,NULL,NULL
Jacobus Pighius,1680,NULL,NULL
John Wood,1680,71,
Johann Christian Heusch,1680,NULL,NULL
Andrew Clench,1680,NULL,NULL
Thomas Firmin,1680,NULL,NULL
John Houghton,1680,14,3427
Denis Papin,1680,NULL,NULL
Robert Nelson,1680,62,
Antoni van Leeuwenhoek,1680,NULL,NULL
Frederick Slare,1680,NULL,NULL
Robert Wood,1681,58,
Sir John Percivale,1681,NULL,NULL
Henry Eve,1681,NULL,NULL
Thomas Novell,1681,NULL,NULL
Oliver Salusbury,1681,NULL,NULL
Isaac Dorislaus,1681,NULL,NULL
Henry Justel,1681,NULL,NULL
Francis Lodwik,1681,NULL,NULL
Sir Patience Ward,1681,NULL,NULL
William Payne,1681,50,8137
Gregorio Leti,1681,NULL,NULL
Roger Meredith,1681,7,183
Sir Jeremy Sambrooke,1681,NULL,NULL
Jodocus Crull,1681,NULL,NULL
Richard Waller,1681,16,548
John Rogers,1681,111,50227
John Philip Jordis,1681,28,3353
William Penn,1681,2,8
Hugh Chamberlen,1681,NULL,NULL
Sir Anthony Deane,1681,8,302
Laurence Braddon,1681,NULL,NULL
Sir Rowland Gwynne,1681,NULL,NULL
Richard Robinson,1681,43,6298
Samuel Blackburne,1681,NULL,NULL
(unknown) Goodwyn,1681,NULL,NULL
Conrad Van Beuningen,1682,NULL,NULL
Edward Paget,1682,3,21
Giuseppe de Faria,1682,NULL,NULL
Sir John Chardin,1682,NULL,NULL
Robert Pitt,1682,15,903
John Turnor,1682,NULL,NULL
Walter Mills,1682,6,
Marcantonio Borghese,1682,NULL,NULL
Muhammad ibn Haddu,1682,NULL,NULL
William Gould,1683,14,756
Allen Moulin,1683,NULL,NULL
Charles Willughby,1683,NULL,NULL
Edward Haynes,1683,2,13
Arthur Bailey,1683,12,377
Edward Wetenhall,1683,NULL,NULL
Nathaniel Vincent,1683,NULL,NULL
James Monson,1684,5,
Thomas Baker,1684,43,5240
Richard Beaumont,1684,NULL,NULL
Nicolas Fremont d’Ablancourt,1684,NULL,NULL
Henry Hyde,1684,1,5
William Musgrave,1684,2,39
Alexander Pitfeild,1684,NULL,NULL
Tancred Robinson,1684,NULL,NULL
Benjamin von Munchausen,1684,NULL,NULL
Esprit Cabart de Villermont,1685,NULL,NULL
Sir Richard Bulkeley,1685,2,16
John Vaughan,1685,41,7409
Charles Leigh,1685,1,3
John Beaumont,1685,7,146
Thomas Herbert,1685,5,152
Sir Hans Sloane,1685,NULL,NULL
William Molyneux,1686,2,7
Clopton Havers,1686,NULL,NULL
Sir Robert Gordon,1686,51,8337
St George Ashe,1686, ,0
John Harwood,1686,42,7338
Sir Thomas Molyneux,1686,3,47
Thomas Meres,1686,NULL,NULL
Jacobus Sylvius,1687,NULL,NULL
Johann Weikhard Valvasor,1687,NULL,NULL
Benjamin Middleton,1687,NULL,NULL
Jean de Hautefeuille,1687,17,922
William Wotton,1687,NULL,NULL
Joannes Nicolaus Pechlin,1688,NULL,NULL
Edward Stillingfleet,1688,NULL,NULL
Raymond Vieussens,1688,NULL,NULL
John Adair,1688,29,2166
Sir Charles Gresham,1688,10,1402
John Clayton,1688,18,1065
Joannes Adamus Stampfer,1688,NULL,NULL
Nicolas Fatio de Duillier,1688,NULL,NULL
Joseph Raphson,1689,NULL,NULL
Nicolaus Witsen,1689,NULL,NULL
George Moult,1689,NULL,NULL
William Stanley,1689,51,9507
Jacobus Grandi,1690,NULL,NULL
Thomas Day,1691,33,3288
Louis Paule,1691,NULL,NULL
Sir Godfrey Copley,1691,NULL,NULL
Alexander Torriano,1691,NULL,NULL
Luigi Ferdinand Marsigli,1691,NULL,NULL
Lord George Douglas,1692,33,3800
Joannes Dolaeus,1692,NULL,NULL
David Gregory,1692,18,1984
Sir Charles Issac,1692,NULL,NULL
George Mackenzie,1692,5,76
Sir William Trumbull,1692,5,208
Johann Theodor Heinson,1692,NULL,NULL
Edward Lany,1692,NULL,NULL
Edward Southwell,1692,NULL,NULL
Ralph Lane,1692,4,28
Jonas Blackwell,1692,NULL,NULL
Georg Franck-von- Franckenau,1693,NULL,NULL
Thomas Kirke,1693,NULL,NULL
John Henley,1693,20,1153
Robert Briggs,1693,27,3256
Charles Bodvill Robartes,1693,NULL,NULL
John Woodward,1693, ,
Thomas Willoughby,1693,12,
Christopher Wren,1693,34,3891
Patrick Gordon,1694,11,451
John Jackson,1694,66,
James Brydges,1694,NULL,NULL
Bernard Connor,1695,NULL,NULL
Samuel Doody,1695,1,2
Charles Montagu,1695,NULL,NULL
James Petiver,1695,NULL,NULL
Domenico Bottoni,1695,NULL,NULL
Moise Pujolas,1695,NULL,NULL
Tommaso Del Bene,1695,NULL,NULL
Richard Bentley,1695,9,498
Silvestro Bonfigliuoli,1696,NULL,NULL
Ippolito Fornasari,1696,NULL,NULL
James Chadwick,1696,13,586
Vincenzo Viviani,1696,NULL,NULL
Charles Bernard,1696,10,
Francesco Spoleti,1696,NULL,NULL
Govard Bidloo,1696,NULL,NULL
John Harris,1696,82,
Edward Smith,1696,46,
Ralph Lowndes,1696,NULL,NULL
Orlando Bridgeman,1696,NULL,NULL
Thomas Foley,1696,33,3507
Sir Philip Ryley,1696, ,0
John Newey,1696,1,1
Hugh Howard,1696,3,91
William Cockburn,1696,14,584
William Byrd,1696,24,3197
Henry Petty,1696,NULL,NULL
Pomponio Scarlotti,1696,NULL,NULL
George Stepney,1697,NULL,NULL
John Hutton,1697,58,10440
Jacques Basnage de Beauval,1697,NULL,NULL
Ralph Thoresby,1697,NULL,NULL
Abraham de Moivre,1697,NULL,NULL
Balthasar Becker,1698,NULL,NULL
Sir Orlando Bridgeman,1698,NULL,NULL
Giorgio Baglivi,1698,NULL,NULL
Edward Haistwell,1698,NULL,NULL
Domenico Guglielmini,1698,NULL,NULL
John Somers,1698,10,287
Maurice Emmet,1698,NULL,NULL
Matthew Prior,1698,3,23
Charles Spencer,1698,15,1069
Robert Molesworth,1698,NULL,NULL
Edward Norris,1698,16,
James Ogilvy,1698,1,1
