name,year,index,citation 
George Hibbert,1811,11,665
Thomas Hoblyn,1811,NULL,NULL
John Kaye,1811,1,2
Edward Hawke Locker,1811,NULL,NULL
James Macartney,1811,22,1313
"Henry Petty-Fitzmaurice, 3rd Marquess of Lansdowne",1811,NULL,NULL
"John Randolph, Bishop of London",1811,37,4486
George Rowley,1811,3,21
Thomas Sampson,1811,16,1295
Walter Wade,1811,4,68
"Charles Wentworth-Fitzwilliam, 5th Earl Fitzwilliam",1811,NULL,NULL
Thomas Allan,1815,2,8
Henry Benjamin Hanbury Beaufoy,1815, ,0
Barrington Pope Blachford,1815,NULL,NULL
Peter Patten Bold,1815,NULL,NULL
Phineas Bond,1815,NULL,NULL
David Brewster,1815,67,13295
Thomas William Carr,1815,4,894
James Cocks,1815,NULL,NULL
James Dawkins,1815,6,155
William Francis Eliott,1815,13,596
William Henry Fitton,1815,16,970
Thomas Grey,1815,7,171
John Haighton,1815,NULL,NULL
William Harrison,1815,40,6959
George Harry Fleetwood Hartopp,1815,14,602
Christopher Hawkins,1815,7,164
Henry Holland,1815,1,3
James Ivory,1815,8,338
William Martin Leake,1815,72,18640
Charles Mackenzie,1815,25,2358
George Steuart Mackenzie,1815,NULL,NULL
George D'Oyly,1815,NULL,NULL
Thomas Lister Parker,1815, ,0
Roger Pettiward,1815,NULL,NULL
John Delafield Phelps,1815, ,0
John Rickman,1815,3,38
Peter Mark Roget,1815,31,3190
Benjamin Travers,1815, ,0
Samuel Turner,1815,57,9645
John William Ward,1815,2,26
George Warrender,1815,NULL,NULL
John Whishaw,1815,NULL,NULL
Jean-Baptiste Biot,1815,NULL,NULL
Joseph Louis Gay-Lussac,1815,2,13
Alexander von Humboldt,1815,NULL,NULL
John Baillie,1817,40,5753
Edward Bromhead,1817,14,541
William Burroughs,1817,4,205
"George Byng, 6th Viscount Torrington",1817,NULL,NULL
Joseph Constantine Carpue,1817,2,13
Frederick Sylvester North Douglas,1817,2,5
"Robert Saunders Dundas, 2nd Viscount Melville",1817,15,790
"Hugh Fortescue, 2nd Earl Fortescue",1817,NULL,NULL
Augustus Bozzi Granville,1817,NULL,NULL
Edward Hanmer,1817,NULL,NULL
James Rawlins Johnson,1817,10,294
William Lambton,1817, ,0
Thomas Legh,1817,NULL,NULL
John William Mackie,1817,2,26
William Macmichael,1817,NULL,NULL
John Maddy,1817,NULL,NULL
Macvey Napier,1817,NULL,NULL
Gore Ouseley,1817,NULL,NULL
"Henry John Peachey, 3rd Baron Selsey",1817,2,14
"William Henry Francis Petre, 11th Baron Petre",1817,16,970
Thomas Stamford Bingley Raffles,1817,NULL,NULL
John Reeves,1817,58,12582
William Somerville,1817,5,110
William Strutt,1817,NULL,NULL
Peter Evan Turnbull,1817,2,18
John Ashley Warre,1817,16,749
Clarke Abel,1819,NULL,NULL
Robert Barlow,1819,38,4871
Henry Thomas de la Beche,1819,21,1307
John Brooke,1819,21,1329
Henry James Brooke,1819,5,137
Joshua Brookes,1819, ,0
George Butler,1819,24,2118
John Douglas Edward Henry Campbell,1819,51,
George Clerk,1819,NULL,NULL
William Daniel Conybeare,1819,15,681
John Hutton Cooper,1819,58,10440
George Dollond,1819,NULL,NULL
Henry Ellis,1819,17,1121
John Fisher,1819,61,14623
John Leslie Foster,1819, ,0
Benjamin Gompertz,1819,NULL,NULL
Thomas Greatorex,1819,NULL,NULL
Archibald Kennedy,1819,NULL,NULL
Charles Henry Bellenden Ker,1819,37,4668
Colin Mackenzie,1819,24,2169
Frederick Marryat,1819,NULL,NULL
Murray Maxwell,1819,NULL,NULL
James Justinian Morier,1819,NULL,NULL
George Ormerod,1819,NULL,NULL
William Pearson,1819,41,18206
Thomas Phillips,1819,78,
Archibald John Primrose,1819,33,3877
William Prout,1819, ,0
Henry Walter,1819, ,0
Grant David Yeats,1819,NULL,NULL
Thomas Chevalier,1819,2,24
George Lewis Newnham Collingwood (1782–1837),1819,36,6414
George Gilbert Currey (died 1822),1819,5,40
Robert Hamilton (died 1832),1819,56,10926
George Hunt (1789–1861),1819,40,4557
James Devereux Hustler (died 1850),1819,NULL,NULL
Jeremiah Ives (1777–1829),1819,NULL,NULL
Francis Lunn (1795–1839),1819,NULL,NULL
George Magrath (1775–1857),1819,3,79
Alfred Le Marchant (born 1819),1819,NULL,NULL
Charles Savill Onley (1757–1843),1819,NULL,NULL
John Sprat Rainier (died 1822),1819,NULL,NULL
John Ramsbottom (died 1845),1819, ,0
Joseph Smith (1775–1857),1819,61,13514
Charles Tweedie (1799–1821),1819,2,6
"John Charles Althorp, 3rd Earl Spencer",1820,18,1469
Henry Card,1820,NULL,NULL
Loftus Longueville Tottenham Clarke,1820,NULL,NULL
"Sir George Cockburn, 10th Baronet",1820,1,1
Thomas Frederick Colby,1820,1,2
John Corrie,1820,41,4889
Fearon Fallows,1820,NULL,NULL
Robert Townsend Farquhar,1820,21,1739
"George Augustus Frederick FitzClarence, 1st Earl of Munster",1820,NULL,NULL
William Franklin,1820,10,329
Matthew Curling Friend,1820,NULL,NULL
"George IV, King of Great Britain and Ireland",1820,NULL,NULL
Henry Goulburn,1820,NULL,NULL
Francis Haggitt,1820,NULL,NULL
"Sir John Hall, 5th Baronet",1820,61,15178
John Philips Higman,1820,4,75
Alexander Kyd,1820,NULL,NULL
Thomas Frankland Lewis,1820,NULL,NULL
John MacCulloch,1820,2,7
Henry Edward Napier,1820,4,83
Evan Nepean,1820,NULL,NULL
George Henry Noehden,1820,10,358
Thomas Phillipps,1820, ,0
Charles Milner Ricketts,1820,NULL,NULL
John Sewell,1820,9,237
John George Shaw-Lefevre,1820,18,1189
John Sleath,1820,18,1166
William Swainson,1820,NULL,NULL
John Deas Thomson,1820,NULL,NULL
John Maxwell Tylden,1820,21,1056
James Watt,1820,15,723
William Whewell,1820, ,0
Nicolas Theodore de Saussure,1820,NULL,NULL
Francis Basset,1829,NULL,NULL
Joseph Bosworth,1829,5,59
William Cavendish,1829,3,333
Henry Coddington,1829,NULL,NULL
William Willoughby Cole,1829,10,404
Bransby Blake Cooper,1829,5,207
Alexander Crombie,1829, ,0
William Frederick Edwards,1829,22,4166
John Elliotson,1829, ,0
John Forbes,1829,66,28895
Henry Hennell,1829,1,2
John William Lubbock,1829,2,26
Ebenezer Fuller Maitland,1829,NULL,NULL
John Maxwell,1829,21,1056
John Stuart-Wortley,1829,NULL,NULL
Charles Tennyson d'Eyncourt,1829, ,0
Nathaniel Wallich,1829,NULL,NULL
Alexander Luard Wollaston,1829,NULL,NULL
Antoine Laurent de Jussieu,1829,2,13
"Sir Thomas Dyke Acland, 10th Baronet",1839,3,47
George Barker,1839,10,377
Beriah Botfield,1839, ,0
"Robert Carrington, 2nd Baron Carrington",1839, ,0
Arthur Conolly,1839,NULL,NULL
Charles Darwin,1839,7,221
Henry Mangles Denham,1839,NULL,NULL
Henry Drummond,1839,NULL,NULL
Arthur Farre,1839,1,5
William James Frodsham,1839,30,
George Godwin,1839,NULL,NULL
John Thomas Graves,1839,81,
Edwin Guest,1839,1,3
George Gulliver,1839, ,0
James Halliwell-Phillipps,1839,NULL,NULL
Christopher Hansteen,1839,NULL,NULL
James Heywood,1839,27,3052
John Hogg,1839,13,526
Samuel Roffey Maitland,1839,NULL,NULL
Macedonio Melloni,1839, ,0
Adolphe Quetelet,1839,NULL,NULL
Félix Savart,1839,1,1
William Sharpey,1839,1,1
James Joseph Sylvester,1839,56,12291
John Couch Adams,1849,18,990
Thomas Andrews,1849,19,1876
Francis Thornhill Baring,1849,NULL,NULL
Charles Barry,1849,4,58
Benjamin Collins Brodie,1849,3,46
John Dalrymple,1849,10,430
James Glaisher,1849, ,0
Robert Alfred Cloyne Godwin-Austen,1849,NULL,NULL
Robert John Kane,1849,27,4254
William Lassell,1849,NULL,NULL
James Prince Lee,1849,13,1837
Henry Beaumont Leeson,1849,NULL,NULL
Thomas Babington Macaulay,1849,1,2
Andrew Crombie Ramsay,1849,9,383
John Scott Russell,1849,58,13594
Francis Sibson,1849, ,0
Robert Stephenson,1849,29,2891
Philip James Yorke,1849,15,1210
Lionel Smith Beale,1857,3,32
George Boole,1857,1,4
George Bowdler Buckton,1857,NULL,NULL
Thomas Davidson,1857,21,1238
George Grote,1857,1,1
Rowland Hill,1857,7,816
Thomas Penyngton Kirkman,1857,NULL,NULL
William Marcet,1857,1,2
John Marshall,1857,82,41754
Robert Angus Smith,1857,19,1499
Andrew Smith,1857,142,
Charles Piazzi Smyth,1857,1,3
Henry Clifton Sorby,1857,NULL,NULL
John Welsh,1857,28,6816
Joseph Whitworth,1857, ,0
Samuel Husbands Beckles,1859,NULL,NULL
Frederick Crace Calvert,1859,1,9
Henry John Carter,1859,2,14
Douglas Strutt Galton,1859,NULL,NULL
William Bird Herapath,1859,7,405
George Murray Humphry,1859,20,1312
Thomas Sterry Hunt,1859,3,26
John Denis Macdonald,1859,2,64
William Odling,1859,1,1
Robert Patterson,1859,22,3149
John Penn,1859,32,3241
Robert Hermann Schomburgk,1859,33,3835
Edward Henry Stanley,1859,4,46
Archibald Campbell Tait,1859, ,0
Thomas Watson,1859,21,1867
Bennet Woodcroft,1859,NULL,NULL
William Yolland,1859,NULL,NULL
Samuel White Baker,1869,7,281
John Jeremiah Bigsby,1869, ,0
William Esson,1869,NULL,NULL
George Carey Foster,1869,4,36
Robert Arthur Talbot Gascoyne-Cecil,1869,9,399
William Withey Gull,1869,NULL,NULL
Joseph Norman Lockyer,1869,6,197
John Robinson McClean,1869,36,6867
St. George Jackson Mivart,1869, ,0
Robert Cornelis Napier,1869,NULL,NULL
John Russell Reynolds,1869,65,
Robert Spencer Robinson,1869,32,6397
James Francis Tennant,1869,20,2261
Wyville Thomas Charles Thomson,1869,2,31
Alphonse Louis Pierre Pyramus de Candolle,1869,NULL,NULL
Charles-Eugène Delaunay,1869,NULL,NULL
Louis Pasteur,1869, ,0
John Anderson,1879,71,20640
Miles Joseph Berkeley,1879,NULL,NULL
Henry Bessemer,1879, ,0
Alexander Crum Brown,1879,NULL,NULL
Walter Lawry Buller,1879,NULL,NULL
Richard Assheton Cross,1879, ,0
George Howard Darwin,1879,72,25700
Joseph David Everett,1879,13,495
George Downing Liveing,1879,6,180
George John Romanes,1879,28,2567
Arthur Schuster,1879,2,39
Harry Govier Seeley,1879,NULL,NULL
Thomas Wright,1879,129,
Arthur Auwers,1879,NULL,NULL
Jean Louis Armand de Quatrefages de Bréau,1879,13,911
Luigi Cremona,1879,1,6
Georg Hermann Quincke,1879,27,2576
Theodor Ambrose Hubert Schwann,1879,NULL,NULL
Jean-Servais Stas,1879,NULL,NULL
Thomas Clifford Allbutt,1880,12,427
Thomas George Baring,1880,23,1792
Alexander James Beresford-Hope,1880,11,913
Henry Francis Blanford,1880,29,2491
William Henry Dallinger,1880,16,970
Henry Haversham Godwin-Austen,1880,NULL,NULL
Charles Graves,1880,12,407
David Edward Hughes,1880, ,0
George Jessel,1880,1,2
Frederick McCoy,1880,7,233
John Fletcher Moulton,1880,48,6462
John Rae,1880,1,3
William Turner Thiselton-Dyer,1880,10,479
William Augustus Tilden,1880,NULL,NULL
William Edward Ayrton,1881,2,27
Henry Walter Bates,1881, ,0
John Syer Bristowe,1881,NULL,NULL
William Henry Mahoney Christie,1881,16,970
George Dickie,1881,5,71
William Ewart Gladstone,1881,1,12
Mountstuart Elphinstone Grant Duff,1881,NULL,NULL
William George Granville Venables Vernon Harcourt,1881,27,2785
Alfred Bray Kempe,1881,NULL,NULL
Alexander Macalister,1881,1,7
Herbert McLeod,1881, ,0
John Arthur Phillips,1881,47,7491
William Henry Preece,1881,16,970
Bernhard Samuelson,1881,NULL,NULL
Bindon Blood Stoney,1881,NULL,NULL
Ramsey Heatley Traquair,1881,NULL,NULL
Henry William Watson,1881,29,
Charles Romley Alder Wright,1881,NULL,NULL
Gabriel Auguste Daubrée,1881,NULL,NULL
Jean Charles Galissard de Marignac,1881,17,988
Carl Wilhelm von Nägeli,1881,5,212
Carl Wilhelm Weierstrass,1881,5,212
John Aitken,1889,82,23404
Edward Ballard,1889,1,2
Alfred Barnard Basset,1889,4,92
Horace Tabberer Brown,1889,NULL,NULL
Josiah Latimer Clark,1889, ,0
David Douglas Cunningham,1889,12,903
Lazarus Fletcher,1889, ,0
William Botting Hemsley,1889,NULL,NULL
Charles Thomas Hudson,1889,38,8911
Thomas McKenny Hughes,1889,NULL,NULL
Edward Bagnall Poulton,1889,2,9
William Johnson Sollas,1889,94,
Charles Todd,1889,21,1449
Henry de Worms,1889,12,696
Gerald Francis Yeo,1889,7,238
Stanislao Cannizzaro,1889,NULL,NULL
Jean Baptiste Auguste Chauveau,1889,2,247
Henry Augustus Rowland,1889,NULL,NULL
Benjamin Baker,1890,18,908
Robert Holford Macdowall Bosanquet,1890,NULL,NULL
Samuel Hawksley Burbury,1890,NULL,NULL
Walter Gardiner,1890, ,0
John Kerr,1890,21,1734
Percy Alexander MacMahon,1890,NULL,NULL
Alfred Merle Norman,1890,NULL,NULL
William Henry Perkin,1890,16,970
Percival Spencer Umfreville Pickering,1890,NULL,NULL
Isaac Roberts,1890,1,1
David Sharp,1890,21,1914
Jethro Justinian Harris Teall,1890,NULL,NULL
Walter Frank Raphael Weldon,1890,23,1809
William Anderson,1891,77,
Frederick Orpen Bower,1891,NULL,NULL
John Conroy,1891,41,6382
Daniel John Cunningham,1891,4,107
George Mercer Dawson,1891,1,1
Edwin Bailey Elliott,1891,1,5
Percy Faraday Frankland,1891,NULL,NULL
Percy Carlyle Gilchrist,1891,NULL,NULL
William Dobinson Halliburton,1891,NULL,NULL
James Hannen,1891,NULL,NULL
Oliver Heaviside,1891,2,9
William Lawies Jackson,1891,NULL,NULL
John Edward Marr,1891,17,2172
Ludwig Mond,1891,5,190
William Napier Shaw,1891,14,499
Silvanus Phillips Thompson,1891,NULL,NULL
Thomas Henry Tizard,1891,40,6403
Alexander Agassiz,1891,1,1
Benjamin Apthorp Gould,1891,NULL,NULL
Eduard Adolf Strasburger,1891,NULL,NULL
Pietro Tacchini,1891, ,0
Frank Evers Beddard,1892,NULL,NULL
Spencer Compton Cavendish,1892,NULL,NULL
John Ambrose Fleming,1892,48,9662
Clement le Neve Foster,1892,NULL,NULL
Hans Friedrich Gadow,1892,17,759
Robert Giffen,1892,NULL,NULL
Francis Gotch,1892,5,48
William Abbott Herdman,1892,55,10686
Farrer Herschell,1892,NULL,NULL
Frederick Wollaston Hutton,1892,NULL,NULL
John Joly,1892,3,
Joseph Larmor,1892,3,28
Louis Compton Miall,1892,NULL,NULL
John Morley,1892,97,
Benjamin Neeve Peach,1892,NULL,NULL
Alexander Pedler,1892,1,2
Augustus Desiré Waller,1892,NULL,NULL
Wilhelm Kühne,1892,NULL,NULL
Eleuthere Elie Nicolas Mascart,1892,NULL,NULL
Dmitri Mendeleev,1892,NULL,NULL
periodic table,1892,NULL,NULL
Hubert Anson Newton,1892,NULL,NULL
James Bryce,1893,16,962
William Burnside,1893,7,217
Wyndham Rowland Dunstan,1893,NULL,NULL
William Ellis,1893,28,2570
James Cossar Ewart,1893,1,1
William Tennant Gairdner,1893,24,1934
Ernest William Hobson,1893,29,3527
Henry Hoyle Howorth,1893,11,519
Edwin Tulley Newton,1893,NULL,NULL
Charles Scott Sherrington,1893,29,2723
Edward Charles Stirling,1893,14,863
John Isaac Thornycroft,1893,41,7319
Alfred Russel Wallace,1893,NULL,NULL
Arthur Mason Worthington,1893,47,
Sydney Young,1893,8,184
George V,1893,NULL,NULL
William Bateson,1894,9,193
George Albert Boulenger,1894,3,59
John Rose Bradford,1894,67,13870
Hugh Longbourne Callendar,1894,NULL,NULL
William Watson Cheyne,1894,29,3902
Micaiah John Muller Hill,1894,5,132
John Viriamu Jones,1894,NULL,NULL
Augustus Edward Hough Love,1894,21,1906
Richard Lydekker,1894,9,340
Francis Cranmer Penrose,1894,NULL,NULL
Dukinfield Henry Scott,1894,11,437
Joseph Wilson Swan,1894,12,507
Henri Ernest Baillon,1894,NULL,NULL
Jules Henri Poincare,1894,13,1171
Eduard Suess,1894,1,3
Alfred Gibbs Bourne,1895,5,52
George Hartley Bryan,1895,4,136
Horace Davey,1895,NULL,NULL
John Eliot,1895,10,421
Joseph Reynolds Green,1895,9,343
Ernest Howard Griffiths,1895,39,4706
Charles Thomas Heycock,1895,38,8911
Sydney John Hickson,1895,3,47
William Macewen,1895,6,171
Frank McClean,1895,NULL,NULL
William Henry Power,1895,16,970
John Wolfe Barry,1895,56,10888
Jean Albert Gaudry,1895,16,852
Friedrich Wilhelm Georg Kohlrausch,1895,1,1
Samuel Pierpont Langley,1895,NULL,NULL
Marius Sophus Lie,1895,9,293
Elias Metchnikoff,1895,NULL,NULL
George Sydenham Clarke,1896, ,0
John Norman Collie,1896,24,2440
Arthur Matthew Weld Downing,1896,NULL,NULL
Francis Elgar,1896, ,0
John Eldon Gorst,1896,2,9
Andrew Gray,1896,102,
George Jennings Hinde,1896,2,6
Henry Alexander Miers,1896,11,487
Frederick Walker Mott,1896,27,3232
John Murray,1896,132,
Karl Pearson,1896,7,620
Thomas Roscoe Rede Stebbing,1896,10,588
Charles Stewart,1896,36,5517
Richard Temple,1896,1,1
William Edward Wilson,1896,2,27
Horace Bolingbroke Woodward,1896,NULL,NULL
Albert Heim,1896,29,2612
Gabriel Jonas Lippmann,1896,NULL,NULL
Gösta Mittag-Leffler,1896,NULL,NULL
Giovanni Virginio Schiaparelli,1896,NULL,NULL
Robert Bell,1897,49,8404
William Henry Broadbent,1897,16,970
Charles Chree,1897,2,7
Henry John Elwes,1897,2,14
John Scott Haldane,1897,58,13594
William Aitcheson Haswell,1897,NULL,NULL
Thomas George Bond Howes,1897,23,1792
Frederic Stanley Kipping,1897,NULL,NULL
George Ballard Mathews,1897,2,37
George Robert Milne Murray,1897,21,1332
Henry Alleyne Nicholson,1897,NULL,NULL
Wilhelm Friedrich Philipp Pfeffer,1897,45,6847
John Millar Thomson,1897,25,1917
Frederick Thomas Trouton,1897,39,4945
Herbert Hall Turner,1897,2,
Emile Hilaire Amagat,1897,NULL,NULL
Ferdinand Julius Cohn,1897,NULL,NULL
Josiah Willard Gibbs,1897,NULL,NULL
Rudolph Peter Heinrich Heidenhain,1897,69,22590
Jacobus Hendrik Van't Hoff,1897,NULL,NULL
Heinrich Hermann Robert Koch,1897,2,9
Felix-Joseph Henri de Lacaze-Duthiers,1897,NULL,NULL
Johannes Wislicenus,1897,4,57
Ferdinand Zirkel,1897,1,1
Henry Frederick Baker,1898,13,593
Ernest William Brown,1898,44,7431
Alexander Buchan,1898,15,702
George Nathaniel Curzon,1898,NULL,NULL
Sidney Frederic Harmer,1898,5,56
Nathaniel Lindley,1898,NULL,NULL
Arthur Lister,1898,2,8
Herbert Eustace Maxwell,1898,NULL,NULL
William Osler,1898,13,963
Charles Algernon Parsons,1898,NULL,NULL
Thomas Preston,1898,40,5272
Edward Waymouth Reid,1898,NULL,NULL
Albert Charles Seward,1898,11,406
William Ashwell Shenstone,1898,NULL,NULL
Henry Martyn Taylor,1898,4,33
James Wimshurst,1898, ,0
William Fletcher Barrett,1899,34,3943
Charles Booth,1899,17,919
David Bruce,1899,31,5779
Henry John Horstman Fenton,1899,2,14
James Sykes Gamble,1899,8,458
Alfred Cort Haddon,1899,NULL,NULL
Henry Head,1899,3,37
Henry Selby Hele-Shaw,1899,7,197
Conwy Lloyd Morgan,1899,6,255
Clement Reid,1899,5,69
Robert Romer,1899,9,228
George John Shaw-Lefevre,1899,28,2567
Ernest Henry Starling,1899,2,16
Henry William Lloyd Tanner,1899,11,418
Richard Threlfall,1899,1,1
Bertram Coghill Alan Windle,1899,65,19833
Ludwig Boltzmann,1899,8,342
Felix Anton Dohrn,1899,1,1
Emil Hermann Fischer,1899,58,
Georg Balthasar von Neumayer,1899,NULL,NULL
Melchior Treub,1899,NULL,NULL
Tannatt William Edgeworth David,1900,NULL,NULL
John Bretland Farmer,1900,NULL,NULL
Leonard Erskine Hill,1900,NULL,NULL
John Horne,1900,20,1224
Joseph Jackson Lister,1900,19,983
James Gordon MacGregor,1900,22,1672
Patrick Manson,1900,5,87
Thomas Muir,1900,60,12948
Ford North,1900,NULL,NULL
Henry George Percy,1900,15,1652
Arthur Alcock Rambaut,1900,NULL,NULL
Walter Baldwin Spencer,1900,1,3
James Walker,1900,42,7255
Philip Watts,1900,28,2797
Charles Thomson Rees Wilson,1900,1,16
James Mansergh,1901,NULL,NULL
Franz von Leydig,1901,NULL,NULL
William Watson,1901,29,3902
Sir William Schlich,1901, ,0
Sir Henry Bradwardine Jackson,1901,NULL,NULL
Michael Rogers Oldfield Thomas,1901,3,38
Sir Ronald Ross,1901,94,
John Walter Gregory,1901,27,
Alfred William Alcock,1901,3,44
Hector Munro Macdonald,1901,1,1
Arthur Smithells,1901, ,0
Sir Frank Watson Dyson,1901,11,1526
Sir Arthur John Evans,1901,5,83
Sir Arthur Smith Woodward,1901,41,
Sir William Cecil Dampier,1901,4,50
Sir Charles James Martin,1901,71,17620
Ferdinand von Richthofen,1902,NULL,NULL
Hans Peter Jurgen Julius Thomsen,1902,41,5813
Edward Saunders,1902,16,1585
John Brown,1902,54,11975
Rubert William Boyce,1902,25,1965
Henry Taylor Bovey,1902,30,3325
George William Hill,1902,47,8543
Herman Graf zu Solms-Laubach,1902,NULL,NULL
Richard Everard Webster,1902,NULL,NULL
Sir James Stirling,1902,20,1590
Jean Gaston Darboux,1902,2,32
Karl Ewald Konstantin Hering,1902,NULL,NULL
Sydney Samuel Hough,1902,NULL,NULL
Robert Kidston,1902,9,508
Walter Hume Long,1902, ,0
Sir George Dashwood Taubman Goldie,1902,NULL,NULL
Albert Abraham Michelson,1902,5,166
Sir Horace Curzon Plunkett,1902,NULL,NULL
Sir William Bate Hardy,1902,NULL,NULL
Herbert Brereton Baker,1902,NULL,NULL
Thomas Mather,1902,36,4417
Alfred Harker,1902,6,87
Sir William Jackson Pope,1902,34,4703
Waldemar Christofer Brogger,1902,NULL,NULL
John Henry Michell,1902,32,4171
Sir William Matthew Flinders Petrie,1902,22,2127
Arthur Willey,1902,1,2
Hugh Frank Newall,1902,14,604
Thomas William Bridge,1903,4,894
John Edward Stead,1903,17,2172
Johnson Symington,1903, ,0
Sir William Maddock Bayliss,1903,5,169
Sir Horace Darwin,1903, ,0
Sir Aubrey Strahan,1903,4,43
William Philip Hiern,1903,1,4
Henry Reginald Arnulph Mallock,1903, ,0
Sir David Orme Masson,1903,29,3510
Arthur George Perkin,1903,22,2549
Ernest Rutherford,1903,7,239
Ralph Allen Sampson,1903,16,871
Alfred North Whitehead,1903,1,1
Sydney Arthur Monckton Copeman,1903,NULL,NULL
Sir John Sealy Edward Townsend,1903,4,46
Charles Jasper Joly,1904,NULL,NULL
Hugh Marshall,1904,2,14
Donald Alexander Smith,1904,7,273
Thomas Gregor Brodie,1904,19,1465
Alexander Muirhead,1904,NULL,NULL
Sir James Johnston Dobbie,1904,23,1493
Sir Arthur Everett Shipley,1904,NULL,NULL
Harold William Taylor Wager,1904,28,3325
Alfred Cardew Dixon,1904,NULL,NULL
George Henry Falkiner Nuttall,1904,10,358
Edward Meyrick,1904,8,178
Sir Sidney Gerald Burrard,1904,NULL,NULL
William Whitehead Watts,1904,69,
Sir Thomas Henry Holland,1904,3,47
Sir Gilbert Thomas Walker,1904, ,0
Morris William Travers,1904, ,0
Henri Moissan,1905,1,2
Ludimar Hermann,1905,5,132
John Edward Campbell,1905,17,2172
George William Lamplugh,1905,47,8543
John George Adami,1905,18,1189
William Henry Dines,1905,16,970
Hendrik Antoon Lorentz,1905,NULL,NULL
Hugo De Vries,1905,4,86
William Arthur Bone,1905,20,2405
Ernest William MacBride,1905,2,9
Sir David Prain,1905,NULL,NULL
Sir Martin Onslow Forster,1905,160,121805
Edwin Stephen Goodrich,1905,7,131
Sir Frederick Gowland Hopkins,1905,5,145
Robert John Strutt,1905,27,4254
Sir Arthur Mostyn Field,1905,NULL,NULL
Francis Wall Oliver,1905,18,887
George Frederick Charles Searle,1905,1,10
Sir Edmund Taylor Whittaker,1905,1,1
Sir George Thomas Beilby,1906,61,14441
Charles William Andrews,1906,47,8672
Edward Cecil Guinness,1906,NULL,NULL
Richard Burdon Haldane,1906,NULL,NULL
Walter Heape,1906,2,5
Thomas John I'Anson Bromwich,1906,17,934
Archibald Byron Macallum,1906,NULL,NULL
James Ernest Marsh,1906,7,110
Arthur William Patrick Albert,1906,54,10266
Sir Henry George Lyons,1906,15,1652
Sir Peter Chalmers Mitchell,1906,13,590
Sir James Hopwood Jeans,1906,NULL,NULL
Sir Almroth Edward Wright,1906,75,49061
Frederick Frost Blackman,1906,13,499
Philip Herbert Cowell,1906,NULL,NULL
Charles Herbert Lees,1906,NULL,NULL
Sir James Swinburne,1906, ,0
Harold Albert Wilson,1906,7,164
Archibald Campbell Campbell,1907, ,0
William Duddell,1907,NULL,NULL
Magnus Gustaf Retzius,1907,NULL,NULL
Edward Charles Pickering,1907,14,863
Augusto Righi,1907,2,33
Arthur Robertson Cushny,1907,NULL,NULL
Frederick William Gamble,1907,1,7
Arthur William Crossley,1907,20,1008
Sir Hugh Kerr Anderson,1907,25,1751
Ivan Petrovich Pavlov,1907,NULL,NULL
Sir Joseph Ernest Petavel,1907,22,2320
Sir Grafton Elliot Smith,1907,32,4336
Frank Dawson Adams,1907,2,14
Sir William Henry Bragg,1907,16,970
William Henry Young,1907,16,970
Frederick Daniel Chattaway,1907,1,3
Sir William Blaxland Benham,1907,NULL,NULL
Henry Cabourn Pocklington,1907,NULL,NULL
Henry Nicholas Ridley,1907,4,432
Antoine Henri Becquerel,1908,NULL,NULL
David James Hamilton,1908,75,17018
Silas Weir Mitchell,1908,NULL,NULL
Friedrich Robert Helmert,1908,NULL,NULL
William Gowland,1908,NULL,NULL
William Halse Rivers Rivers,1908,NULL,NULL
Charles Immanuel Forsyth Major,1908,13,709
Arthur Dendy,1908,5,83
H. H. Asquith,1908, ,0
Shibasaburo Kitasato,1908,2,36
Dugald Clerk,1908,1,5
Otto Stapf,1908,3,14
William Barlow,1908,71,18171
Edmund Neville Nevill,1908,25,2922
"Herbrand Russell, 11th Duke of Bedford",1908,NULL,NULL
Jocelyn Field Thorpe,1908,NULL,NULL
Randal Thomas Mowbray Rawdon Berkeley,1908,28,4418
John Stanley Gardiner,1908,56,9412
Henry Horatio Dixon,1908,NULL,NULL
John Hilton Grace,1908,25,1926
Bertrand Russell,1908,1,4
Hugo Kronecker,1909,1,2
Alfred John Jukes-Browne,1909,NULL,NULL
John Alexander McClelland,1909,70,
William James Lewis,1909,30,4433
James Lorrain Smith,1909,NULL,NULL
Santiago Ramon y Cajal,1909,38,6185
Francis Arthur Bather,1909, ,0
William McFadden Orr,1909,15,1033
Alfred Barton Rendle,1909,NULL,NULL
George Ellery Hale,1909,NULL,NULL
Sir Robert Abbott Hadfield,1909,62,11622
Sir Arthur Harden,1909,1,3
Charles Emile Picard,1909,4,92
Sir Alfred Daniel Hall,1909,5,71
Sir Thomas Barlow,1909,3,47
James Thomas Wilson,1909,94,32269
Edward Charles Cyril Baly,1909,14,863
Ernest William Barnes,1909,56,17679
Sir John Graham Kerr,1909,56,12112
August Friedrich Leopold Weismann,1910,6,129
Paul Ehrlich,1910,64,14128
Henry George Plimmer,1910,15,1652
Bertram Hopkinson,1910,NULL,NULL
John Allen Harker,1910,41,6823
Sir William Boog Leishman,1910,NULL,NULL
Gilbert Charles Bourne,1910,8,171
Frederick Augustus Dixey,1910,NULL,NULL
Sir Archibald Edward Garrod,1910,NULL,NULL
Louis Napoleon George Filon,1910,NULL,NULL
Arthur Philemon Coleman,1910,NULL,NULL
Alfred Fowler,1910, ,0
Arthur Lapworth,1910,10,541
Sir Joseph Barcroft,1910,8,263
